18:27:47 | +20.93s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_006.wav', 'de antes, o si aquello que alguna vez sentimos ha cambiado, lo aceptaré, aunque no me sea sencillo hacerlo, comprendo perfectamente tus sentimientos y sólo me resta avergonzarme de']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:47 | +20.93s | tts_0 | INFO | Fragmento 6 listo: fragmento_006.wav
18:27:48 | +21.76s | MainThread | INFO | Termino fragmento 3
18:27:48 | +21.76s | MainThread | INFO | Reproduciendo fragmento 4
18:27:48 | +21.76s | tts_0 | INFO | Generando fragmento 7
18:27:48 | +22.07s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_007.wav', 'los míos Lamento ser siempre quien se expone de esta manera, quien no consigue contener lo que siente, pero ya he aceptado que mis emociones no están hechas para negarse, sino para']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:48 | +22.07s | tts_0 | INFO | Fragmento 7 listo: fragmento_007.wav
18:27:49 | +22.90s | MainThread | INFO | Termino fragmento 4
18:27:49 | +22.90s | MainThread | INFO | Reproduciendo fragmento 5
18:27:49 | +22.90s | tts_0 | INFO | Generando fragmento 8
18:27:49 | +23.13s | tts_0 | WARNING | No se pudo generar TTS real (Command '['powershell', '-NoProfile', '-Command', 'Add-Type -AssemblyName System.Speech; $voice = New-Object System.Speech.Synthesis.SpeechSynthesizer; $voice.SetOutputToWaveFile($args[0]); $voice.Speak($args[1]); $voice.Dispose();', 'C:\\Users\\USER\\Desktop\\progra3\\TTS_P3\\temp_audio\\fragmento_008.wav', 'confesarse cuando ya no hay otra salida o cuando estoy muy segura de ello y heme aquí 🙂 user-profile-picture Y ahora, me duele reconocer que quedo a tu disposición y a tu decisión,']' returned non-zero exit status 1.). Se crea audio silencioso.
18:27:49 | +23.13s | tts_0 | INFO | Fragmento 8 listo: fragmento_008.wav
18:27:50 | +24.03s | MainThread | INFO | Termino fragmento 5
18:27:50 | +24.03s | MainThread | INFO | Reproduciendo fragmento 6
18:27:50 | +24.03s | tts_0 | INFO | Generando fragmento 9
